Gene,M307_2ppm,M311_2ppm,M314_2ppm,M316_0ppm,M323_2ppm,M324_0ppm,M327_0ppm,M329_0ppm,M330_0ppm,M343_2ppm
Fbxo16,65,34,45,46,68,27,23,25,96,46
Fbxo17,10,3,14,7,17,5,8,6,6,8
Fbxo18,760,296,354,340,358,183,45,90,524,133
Fbxo2,21,8,25,15,12,11,14,2,2,13
Fbxo21,281,186,225,155,171,90,25,45,103,97
Fbxo22,415,156,248,195,261,105,10,33,346,107
Fbxo24,11,1,4,8,10,6,6,4,5,6
Fbxo25,178,62,104,93,140,65,17,23,298,65
Fbxo27,9,1,3,9,9,11,5,4,6,4
Fbxo28,269,179,258,157,228,98,52,78,387,125
Fbxo3,1157,452,817,644,786,317,43,189,542,348
Fbxo30,296,182,297,184,349,184,118,132,183,189
Fbxo31,204,92,132,80,125,59,14,25,194,63
Fbxo32,136,110,102,144,100,107,55,81,173,68
Fbxo33,319,195,309,193,302,108,80,84,692,158
Fbxo34,72,63,63,47,69,59,39,39,99,69
Fbxo36,416,102,230,189,386,82,19,63,216,102
Fbxo38,555,252,388,259,324,150,32,101,548,195
Fbxo39,1,5,1,5,8,15,3,12,8,10
Fbxo4,210,132,199,173,206,91,29,40,344,85
Fbxo40,4,14,1,9,4,19,17,20,6,21
Fbxo41,6,7,9,11,8,11,23,14,8,18
Fbxo42,309,132,182,174,204,84,26,40,231,76
Fbxo43,8,26,11,19,9,28,19,24,18,34
Fbxo44,159,53,122,137,198,81,16,37,83,67
Fbxo45,308,137,151,166,170,90,32,67,223,91
Fbxo46,57,25,40,45,58,19,10,19,92,24
Fbxo47,25,24,9,22,21,22,27,30,11,32
Fbxo48,1,5,1,3,0,7,6,3,2,7
Fbxo5,43,27,10,25,10,22,4,13,31,11
Fbxo6,486,151,356,260,387,121,15,58,323,112
Fbxo7,202,97,143,138,142,57,12,37,633,60
Fbxo8,626,201,396,288,530,139,25,83,453,192
Fbxo9,578,188,390,303,390,133,34,92,912,181
Fbxw10,15,24,20,35,64,39,33,22,12,31
Fbxw11,1156,393,706,570,727,251,39,155,1037,318
Fbxw13,0,9,3,11,5,15,12,12,5,17
Fbxw14,0,2,4,5,4,0,12,4,1,1
Fbxw15,4,2,2,1,2,6,8,6,2,2
Fbxw16,2,2,0,10,1,7,5,10,1,10
Fbxw17,62,60,34,39,46,23,52,29,22,43
Fbxw18,1,19,13,12,3,18,39,26,6,16
Fbxw19,8,10,6,12,4,12,22,21,1,21
Fbxw2,626,340,530,427,445,221,88,137,449,233
