Gene,F303_0ppm,F306_2ppm,F318_0ppm,F320_2ppm,F325_0ppm,F328_0ppm,F332_0ppm,F336_2ppm,F341_2ppm,F342_2ppm
Cmtm2b,14,8,17,6,14,8,22,12,6,17
Cmtm3,574,416,146,304,91,138,64,126,17,44
Cmtm4,72,54,82,50,63,77,60,67,44,39
Cmtm5,0,0,0,0,0,0,0,0,0,0
Cmtm6,1980,1499,1816,1753,1564,1936,1902,1823,1477,1422
Cmtm7,113,67,37,43,34,39,18,21,3,6
Cmtm8,489,319,580,538,607,585,580,462,465,441
Cmya5,3558,2322,3838,3027,3835,3927,4513,3231,2874,2772
Cnbd2,106,75,102,98,114,100,97,121,108,105
Cnbp,11000,7970,10212,8553,9526,8737,9301,8343,6004,6438
Cndp1,685,497,796,768,905,798,871,884,708,681
Cndp2,1248,649,577,1472,569,418,343,340,64,108
Cnep1r1,630,464,525,457,518,471,497,392,334,338
Cnfn,0,0,0,0,0,0,0,0,0,0
Cnga1,57,27,54,70,41,48,35,33,22,24
Cnga2,71,44,62,81,74,64,87,61,44,51
Cnga3,0,1,0,0,0,0,1,0,0,0
Cnga4,136,91,137,131,171,158,190,135,140,120
Cngb1,16,16,24,22,21,25,25,20,18,15
Cngb3,4,1,4,3,4,9,4,8,6,3
Cnih,3456,2462,3783,3066,3910,3543,3993,3322,2474,2387
Cnih2,31,16,30,19,14,24,17,20,11,18
Cnih3,0,1,2,3,2,0,1,1,4,3
Cnih4,959,560,825,831,956,830,932,607,498,575
Cnksr1,14,2,8,1,1,5,0,0,0,0
Cnksr2,24,47,13,16,15,18,16,16,15,21
Cnksr3,404,319,445,428,386,406,412,417,322,349
Cnn1,438,231,462,307,497,461,472,378,315,340
Cnn2,29,44,4,16,14,12,1,11,3,8
Cnn3,8333,6093,7174,6932,6969,7291,7423,7587,5888,5721
Cnnm1,177,95,93,167,61,72,34,32,4,14
Cnnm2,879,807,1085,912,1130,1076,1061,911,898,896
Cnnm3,79,78,54,42,26,23,21,23,8,16
Cnnm4,99,62,100,79,69,99,88,74,70,81
Cnot1,5027,4846,5721,5925,4713,5706,4825,3722,4399,4800
Cnot10,1923,1526,1794,1844,2057,1931,1915,1813,1393,1583
Cnot11,6039,4582,6746,6398,7306,7206,7417,6846,5804,5918
Cnot2,3758,2892,3703,3764,4064,4049,4209,4036,3367,3407
Cnot3,4440,3026,4951,4542,4993,5186,4866,4426,4162,4284
Cnot4,3049,2406,3295,3405,3582,3830,3863,3479,3135,3236
Cnot6,2651,2267,1668,3257,1434,1820,1614,1595,913,965
Cnot6l,2411,1676,2315,2411,2263,2753,2310,2438,2080,2192
Cnot7,16854,11922,16372,16961,18853,20941,20682,17922,16224,15507
Cnot8,4466,3267,4503,4311,4890,4855,5007,5040,4032,3863
Cnp,100,94,34,65,43,32,30,28,18,16
Cnppd1,5043,3800,5568,4998,5879,5417,5892,5161,4517,4496
Cnpy1,74,48,85,64,89,64,93,61,50,43
Cnpy2,930,578,621,589,584,534,544,388,261,307
Cnpy3,707,433,366,462,344,311,325,286,198,230
Cnpy4,3825,2936,4124,4281,4679,4744,4790,4268,3795,3656
